,,,"East West University
Offered Courses (Fall - 25)",


Course,Section,Faculty,Capacity,Timing
ICE216,1,IMRAN,0/40,MW 11:50 AM - 01:20 PM
ICE217,1,ALI,0/30,MW 10:10 AM - 11:40 AM
ICE217,1,ALI,0/30,S 10:10 AM - 12:10 PM
ICE217,2,ALI,0/30,MW 01:30 PM - 03:00 PM
ICE217,2,ALI,0/30,T 04:50 PM - 06:50 PM
ICE217,3,DTS,0/30,ST 10:10 AM - 11:40 AM
ICE217,3,DTS,0/30,W 10:10 AM - 12:10 PM
ICE217,4,MKN,0/30,M 01:30 PM - 03:30 PM
ICE217,4,MKN,0/30,ST 01:30 PM - 03:00 PM
ICE217,5,NISHAT,0/30,T 10:10 AM - 12:10 PM
ICE217,5,NISHAT,0/30,TR 08:30 AM - 10:00 AM
ICE217,6,NISHAT,0/30,S 10:10 AM - 11:40 AM
ICE217,6,NISHAT,0/30,R 10:10 AM - 11:40 AM
ICE217,6,NISHAT,0/30,M 08:00 AM - 10:00 AM
ICE217,7,TBA,0/30,M 10:10 AM - 12:10 PM
ICE217,7,TBA,0/30,SR 08:30 AM - 10:00 AM
ICE217,8,TBA,0/30,MW 04:50 PM - 06:20 PM
ICE217,8,TBA,0/30,R 01:30 PM - 03:30 PM

ICE245,1,DTBI,0/30,S 04:50 PM - 07:50 PM
ICE245,1,DTBI,0/30,TR 11:50 AM - 01:20 PM
ICE245,2,DTBI,0/30,MW 03:10 PM - 04:40 PM
ICE245,2,DTBI,0/30,W 04:50 PM - 07:50 PM
ICE245,3,DTS,0/30,SR 08:30 AM - 10:00 AM
ICE245,3,DTS,0/30,W 01:30 PM - 04:30 PM
ICE245,4,DTS,0/30,M 08:00 AM - 11:00 AM
ICE245,4,DTS,0/30,TR 11:50 AM - 01:20 PM
ICE245,5,DHMAI,0/30,S 04:50 PM - 07:50 PM
ICE245,5,DHMAI,0/30,MW 03:10 PM - 04:40 PM
ICE245,6,DHMAI,0/30,ST 01:30 PM - 03:00 PM
ICE245,6,DHMAI,0/30,R 04:50 PM - 07:50 PM
ICE245,7,FHUQ,0/30,M 10:10 AM - 01:10 PM
ICE245,7,FHUQ,0/30,SR 08:30 AM - 10:00 AM
ICE245,8,FHUQ,0/30,S 10:10 AM - 01:10 PM
ICE245,8,FHUQ,0/30,MW 08:30 AM - 10:00 AM
ICE245,9,RABEA,0/30,S 11:50 AM - 01:20 PM
ICE245,9,RABEA,0/30,R 11:50 AM - 01:20 PM
ICE245,9,RABEA,0/30,T 10:10 AM - 01:10 PM
ICE245,10,RABEA,0/30,MW 08:30 AM - 10:00 AM
ICE245,10,RABEA,0/30,R 01:30 PM - 04:30 PM
ICE245,11,TBA,0/30,SR 08:30 AM - 10:00 AM
ICE245,11,TBA,0/30,T 08:00 AM - 11:00 AM
ICE245,12,TBA,0/30,T 08:00 AM - 11:00 AM

ICE245,12,TBA,0/30,TR 04:50 PM - 06:20 PM
ICE245,13,TBA,0/30,SR 08:30 AM - 10:00 AM
ICE245,13,TBA,0/30,R 08:00 AM - 11:00 AM
ICE245,14,TBA,0/30,M 04:50 PM - 07:50 PM
ICE245,14,TBA,0/30,SR 04:50 PM - 06:20 PM
ICE245,15,TBA,0/30,MW 08:30 AM - 10:00 AM
ICE245,15,TBA,0/30,S 08:00 AM - 10:00 AM
ICE275,1,DSHR,0/30,ST 10:10 AM - 11:40 AM
ICE275,1,MOON,0/30,R 08:00 AM - 10:00 AM
ICE275,2,NYA,0/30,MW 10:10 AM - 11:40 AM
ICE275,2,KRI,0/30,T 04:50 PM - 06:50 PM
ICE275,3,KRI,0/30,SR 04:50 PM - 06:20 PM
ICE275,3,KRI,0/30,T 01:30 PM - 03:30 PM
ICE275,4,KRI,0/30,W 08:00 AM - 10:00 AM
ICE275,4,KRI,0/30,S 01:30 PM - 03:00 PM
ICE275,4,KRI,0/30,R 01:30 PM - 03:00 PM
ICE275,5,MOON,0/30,S 01:30 PM - 03:30 PM
ICE275,5,MOON,0/30,ST 08:30 AM - 10:00 AM
ICE275,6,MOON,0/30,M 04:50 PM - 06:50 PM
ICE275,6,MOON,0/30,S 11:50 AM - 01:20 PM
ICE275,6,MOON,0/30,R 11:20 AM - 01:20 PM
ICE275,7,AUR,0/30,MW 03:10 PM - 04:40 PM
ICE275,7,AUR,0/30,T 01:30 PM - 03:30 PM
ICE275,8,AUR,0/30,MW 04:50 PM - 06:20 PM

ICE275,8,AUR,0/30,R 01:30 PM - 03:30 PM
ICE275,9,TBA,0/30,MW 04:50 PM - 06:20 PM
ICE275,9,TBA,0/30,R 10:10 AM - 12:10 PM
ICE275,10,TBA,0/30,M 04:50 PM - 06:50 PM
ICE275,10,TBA,0/30,R 08:30 AM - 10:00 AM
ICE275,10,TBA,0/30,T 08:30 AM - 10:00 AM
ICE275,11,TBA,0/30,T 10:10 AM - 12:10 PM
ICE275,11,TBA,0/30,TR 04:50 PM - 06:20 PM
ICE275,12,TBA,0/30,R 08:30 AM - 10:00 AM
ICE275,12,TBA,0/30,W 04:50 PM - 06:50 PM
ICE275,12,TBA,0/30,S 08:30 AM - 10:00 AM
ICE302,1,MAR,0/30,ST 08:30 AM - 10:00 AM
ICE302,1,MAR,0/30,R 08:00 AM - 10:00 AM
ICE302,2,MAR,0/30,M 01:30 PM - 03:30 PM
ICE302,2,MAR,0/30,ST 11:50 AM - 01:20 PM
ICE302,3,MAR,0/30,MW 08:30 AM - 10:00 AM
ICE302,3,MAR,0/30,S 01:30 PM - 03:30 PM
ICE302,4,FHUQ,0/30,R 01:30 PM - 03:30 PM
ICE302,4,FHUQ,0/30,TR 11:50 AM - 01:20 PM
ICE302,5,KHALID,0/30,MW 04:50 PM - 06:20 PM
ICE302,5,KHALID,0/30,T 01:30 PM - 03:30 PM
ICE302,6,RABEA,0/30,SR 08:30 AM - 10:00 AM
ICE302,6,RABEA,0/30,T 08:00 AM - 10:00 AM
ICE302,7,ARMAN,0/30,MW 04:50 PM - 06:20 PM

ICE302,7,ARMAN,0/30,W 01:30 PM - 03:30 PM
ICE302,8,TBA,0/30,S 01:30 PM - 03:00 PM
ICE302,8,TBA,0/30,S 08:30 AM - 10:00 AM
ICE302,8,TBA,0/30,T 08:30 AM - 10:00 AM
ICE302,9,TBA,0/30,TR 04:50 PM - 06:20 PM
ICE302,9,TBA,0/30,M 08:00 AM - 10:00 AM
ICE302,10,TBA,0/30,S 04:50 PM - 06:50 PM
ICE302,10,TBA,0/30,SR 04:50 PM - 06:20 PM
ICE305,1,DMRH,0/30,ST 11:50 AM - 01:20 PM
ICE305,1,DMRH,0/30,T 01:30 PM - 04:30 PM
ICE305,2,MKR,0/30,M 10:10 AM - 01:10 PM
ICE305,2,MKR,0/30,TR 08:30 AM - 10:00 AM
ICE305,3,MKR,0/30,SR 10:10 AM - 11:40 AM
ICE305,3,MKR,0/30,W 08:00 AM - 11:00 AM
ICE305,4,MRJ,0/30,MW 03:10 PM - 04:40 PM
ICE305,4,MRJ,0/30,R 01:30 PM - 04:30 PM
ICE305,5,MRJ,0/30,S 10:10 AM - 11:40 AM
ICE305,5,MRJ,0/30,R 10:10 AM - 11:40 AM
ICE305,5,MRJ,0/30,T 10:10 AM - 01:10 PM
ICE305,6,MRJ,0/30,S 01:30 PM - 04:30 PM
ICE305,6,DMSHN,0/30,TR 01:30 PM - 03:00 PM
ICE305,7,ANTU,0/30,R 10:10 AM - 01:10 PM
ICE305,7,DMSHN,0/30,TR 03:10 PM - 04:40 PM
ICE305,8,KRI,0/30,M 01:30 PM - 04:30 PM

ICE305,8,KRI,0/30,MW 11:50 AM - 01:20 PM
ICE305,9,SKL,0/30,ST 04:50 PM - 06:20 PM
ICE305,9,SKL,0/30,W 11:50 AM - 02:50 PM
ICE305,10,ANTU,0/30,T 04:50 PM - 07:50 PM
ICE305,10,ANTU,0/30,MW 11:50 AM - 01:20 PM
ICE305,11,TBA,0/30,MW 04:50 PM - 06:20 PM
ICE305,11,TBA,0/30,S 08:00 AM - 11:00 AM
ICE305,12,TBA,0/30,M 04:50 PM - 06:50 PM
ICE305,12,TBA,0/30,S 04:50 PM - 06:20 PM
ICE305,12,TBA,0/30,T 04:50 PM - 06:20 PM
ICE310,1,DMSA,0/40,TR 08:30 AM - 10:00 AM
ICE311,1,ALI,0/30,MW 10:10 AM - 11:40 AM
ICE311,1,ALI,0/30,S 10:10 AM - 12:10 PM
ICE311,2,ALI,0/30,MW 01:30 PM - 03:00 PM
ICE311,2,ALI,0/30,T 04:50 PM - 06:50 PM
ICE311,3,DTS,0/30,ST 10:10 AM - 11:40 AM
ICE311,3,DTS,0/30,W 10:10 AM - 12:10 PM
ICE311,4,MKN,0/30,M 01:30 PM - 03:30 PM
ICE311,4,MKN,0/30,ST 01:30 PM - 03:00 PM
ICE311,5,NISHAT,0/30,T 10:10 AM - 12:10 PM
ICE311,5,NISHAT,0/30,TR 08:30 AM - 10:00 AM
ICE311,6,NISHAT,0/30,M 08:00 AM - 10:00 AM
ICE311,6,NISHAT,0/30,S 10:10 AM - 11:40 AM
ICE311,6,NISHAT,0/30,R 10:10 AM - 11:40 AM

ICE311,7,TBA,0/30,M 10:10 AM - 12:10 PM
ICE311,7,TBA,0/30,SR 08:30 AM - 10:00 AM
ICE311,8,TBA,0/30,R 01:30 PM - 03:30 PM
ICE311,8,TBA,0/30,MW 04:50 PM - 06:20 PM
ICE312,1,KHALID,0/30,ST 04:50 PM - 06:20 PM
ICE312,1,KHALID,0/30,W 01:30 PM - 03:30 PM
ICE312,2,KHALID,0/30,S 03:10 PM - 04:40 PM
ICE312,2,KHALID,0/30,R 03:10 PM - 04:40 PM
ICE312,2,KHALID,0/30,R 04:50 PM - 06:50 PM
ICE313,1,TBA,0/30,S 08:30 AM - 10:00 AM
ICE313,1,TBA,0/30,R 08:30 AM - 10:00 AM
ICE313,1,TBA,0/30,W 08:00 AM - 10:00 AM
ICE314,1,"SSULTA
NA",0/30,MW 03:10 PM - 04:40 PM
ICE314,1,"SSULTA
NA",0/30,W 04:50 PM - 06:50 PM
ICE322,1,DFZA,0/30,M 04:50 PM - 06:50 PM
ICE322,1,DFZA,0/30,MW 03:10 PM - 04:40 PM
ICE370,1,DSU,0/30,TR 11:50 AM - 01:20 PM
ICE370,1,DSU,0/30,S 03:10 PM - 06:10 PM
ICE399,1,TBA,0/40,R 04:50 PM - 06:50 PM
ICE439,1,DFZA,0/40,MW 01:30 PM - 03:00 PM
ICE450,1,RAKIB,0/40,TR 08:30 AM - 10:00 AM
ICE450,2,RAKIB,0/40,R 10:10 AM - 11:40 AM
ICE450,2,RAKIB,0/40,T 10:10 AM - 11:40 AM
ICE450,3,MAHCY,0/40,ST 04:50 PM - 06:20 PM

ICE450,4,TBA,0/40,S 04:50 PM - 06:20 PM
ICE450,4,TBA,0/40,R 04:50 PM - 06:20 PM
ICE453,1,RAKIB,0/40,TR 08:30 AM - 10:00 AM
ICE453,2,RAKIB,0/40,R 10:10 AM - 11:40 AM
ICE453,2,RAKIB,0/40,T 10:10 AM - 11:40 AM
ICE453,3,MAHCY,0/40,ST 04:50 PM - 06:20 PM
ICE453,4,TBA,0/40,S 04:50 PM - 06:20 PM
ICE453,4,TBA,0/40,R 04:50 PM - 06:20 PM
ICE456,1,TBA,0/30,MW 08:30 AM - 10:00 AM
ICE456,1,TBA,0/30,S 08:00 AM - 10:00 AM
ICE469,1,NYA,0/40,ST 10:10 AM - 11:40 AM
ICE469,2,NYA,0/40,ST 01:30 PM - 03:00 PM
ICE469,3,SDIS,0/40,S 11:50 AM - 01:20 PM
ICE469,4,FZRN,0/40,MW 03:10 PM - 04:40 PM
ICE469,5,MAMRD,0/40,TR 01:30 PM - 03:00 PM
ICE469,6,KMSK,0/40,TR 01:30 PM - 03:00 PM
ICE469,7,TBA,0/40,S 04:50 PM - 06:20 PM
ICE469,7,TBA,0/40,R 04:50 PM - 06:20 PM
ICE473,1,NTN,0/40,MW 08:30 AM - 10:00 AM
ICE473,2,DCR,0/40,ST 04:50 PM - 06:20 PM
ICE473,3,DCR,0/40,ST 06:30 PM - 08:00 PM
ICE473,4,TBA,0/40,S 04:50 PM - 06:20 PM
ICE473,4,TBA,0/40,R 04:50 PM - 06:20 PM
ICE474,1,DTBI,0/30,M 04:50 PM - 06:50 PM

ICE474,1,DTBI,0/30,SR 01:30 PM - 03:00 PM
ICE474,2,TBA,0/30,TR 04:50 PM - 06:20 PM
ICE474,2,TBA,0/30,W 04:50 PM - 06:50 PM
ICE475,1,DRUI,0/30,M 01:30 PM - 03:30 PM
ICE475,1,DRUI,0/30,SR 10:10 AM - 11:40 AM
ICE475,2,DMGR,0/30,ST 10:10 AM - 11:40 AM
ICE475,2,TBA,0/30,T 08:00 AM - 10:00 AM
ICE475,3,TBA,0/30,S 08:00 AM - 10:00 AM
ICE475,3,DMGR,0/30,ST 11:50 AM - 01:20 PM
ICE475,4,IMRAN,0/30,ST 03:10 PM - 04:40 PM
ICE475,4,IMRAN,0/30,W 04:50 PM - 06:50 PM
ICE475,5,IMRAN,0/30,M 04:50 PM - 06:50 PM
ICE475,5,IMRAN,0/30,ST 04:50 PM - 06:20 PM
ICE475,6,TBA,0/30,SR 04:50 PM - 06:20 PM
ICE475,6,TBA,0/30,T 10:10 AM - 12:10 PM
ICE475,7,TBA,0/30,MW 04:50 PM - 06:20 PM
ICE475,7,TBA,0/30,R 01:30 PM - 03:30 PM
ICE476,1,DRUI,0/30,M 01:30 PM - 03:30 PM
ICE476,1,DRUI,0/30,SR 10:10 AM - 11:40 AM
ICE476,2,DMGR,0/30,ST 10:10 AM - 11:40 AM
ICE476,2,TBA,0/30,T 08:00 AM - 10:00 AM
ICE476,3,TBA,0/30,S 08:00 AM - 10:00 AM
ICE476,3,DMGR,0/30,ST 11:50 AM - 01:20 PM
ICE476,4,IMRAN,0/30,ST 03:10 PM - 04:40 PM

ICE476,4,IMRAN,0/30,W 04:50 PM - 06:50 PM
ICE476,5,IMRAN,0/30,M 04:50 PM - 06:50 PM
ICE476,5,IMRAN,0/30,ST 04:50 PM - 06:20 PM
ICE476,6,TBA,0/30,SR 04:50 PM - 06:20 PM
ICE476,6,TBA,0/30,T 10:10 AM - 12:10 PM
ICE476,7,TBA,0/30,MW 04:50 PM - 06:20 PM
ICE476,7,TBA,0/30,R 01:30 PM - 03:30 PM
ICE478,1,MRAR,0/30,M 04:50 PM - 06:50 PM
ICE478,1,MRAR,0/30,SR 01:30 PM - 03:00 PM
ICE478,2,DRUI,0/30,TR 11:50 AM - 01:20 PM
ICE478,2,DRUI,0/30,W 10:10 AM - 12:10 PM
ICE478,3,MRAR,0/30,T 04:50 PM - 06:50 PM
ICE478,3,MRAR,0/30,MW 03:10 PM - 04:40 PM
ICE478,4,DMIM,0/30,M 10:10 AM - 12:10 PM
ICE478,4,DMIM,0/30,MW 08:30 AM - 10:00 AM
ICE478,5,ATIQ,0/30,SR 04:50 PM - 06:20 PM
ICE478,5,ATIQ,0/30,W 04:50 PM - 06:50 PM
ICE496A,1,TBA,0/40,A 09:00 AM - 10:00 AM
ICE496B,1,TBA,0/40,A 09:00 AM - 10:00 AM
ICE496C,1,TBA,0/40,A 09:00 AM - 10:00 AM
ICE498,1,TBA,0/40,A 09:00 AM - 10:00 AM
CHE107,1,ZUH,0/30,MW 08:30 AM - 10:00 AM
CHE107,1,ZUH,0/30,M 01:30 PM - 04:30 PM
CHE107,2,DTMA,0/30,M 08:00 AM - 10:00 AM

CHE107,2,DTMA,0/30,MW 01:30 PM - 03:00 PM
CHE107,3,TBA,0/0,T 04:50 PM - 06:20 PM
CHE107,3,TBA,0/0,T 04:50 PM - 06:50 PM
CHE107,3,TBA,0/0,R 04:50 PM - 06:20 PM
CHE109,1,ZUH,0/30,MW 10:10 AM - 11:40 AM
CHE109,1,ZUH,0/30,W 01:30 PM - 03:30 PM
CHE109,2,ZUH,0/30,T 08:00 AM - 10:00 AM
CHE109,2,ZUH,0/30,ST 10:10 AM - 11:40 AM
CHE109,3,DTMA,0/30,ST 10:10 AM - 11:40 AM
CHE109,3,DTMA,0/30,S 08:00 AM - 10:00 AM
CHE109,4,DTMA,0/30,R 01:30 PM - 04:30 PM
CHE109,4,DTMA,0/30,ST 01:30 PM - 03:00 PM
CHE109,5,MUKTA,0/30,MW 08:30 AM - 10:00 AM
CHE109,5,MUKTA,0/30,S 10:10 AM - 12:10 PM
CHE109,6,MUKTA,0/30,T 10:10 AM - 12:10 PM
CHE109,6,MUKTA,0/30,MW 10:10 AM - 11:40 AM
CHE109,7,MUKTA,0/30,T 01:30 PM - 04:30 PM
CHE109,7,MUKTA,0/30,R 01:30 PM - 03:00 PM
CHE109,7,MUKTA,0/30,S 01:30 PM - 03:00 PM
CHE109,8,DNAK,0/30,S 10:10 AM - 12:10 PM
CHE109,8,DNAK,0/30,SR 08:30 AM - 10:00 AM
CHE109,9,DNAK,0/30,ST 01:30 PM - 03:00 PM
CHE109,9,DNAK,0/30,T 08:00 AM - 10:00 AM
CHE109,10,DNAK,0/30,W 08:00 AM - 10:00 AM

CHE109,10,DNAK,0/30,TR 11:50 AM - 01:20 PM
CHE109,11,DJKS,0/30,MW 11:50 AM - 01:20 PM
CHE109,11,DJKS,0/30,M 04:50 PM - 06:50 PM
CHE109,12,DJKS,0/30,W 04:50 PM - 06:50 PM
CHE109,12,DJKS,0/30,MW 03:10 PM - 04:40 PM
CHE109,13,DMLN,0/30,ST 08:30 AM - 10:00 AM
CHE109,13,DMLN,0/30,S 01:30 PM - 03:30 PM
CHE109,14,DMLN,0/30,T 01:30 PM - 03:30 PM
CHE109,14,DMLN,0/30,S 10:10 AM - 11:40 AM
CHE109,14,DMLN,0/30,T 10:10 AM - 11:40 AM
CHE109,15,ASIFUR,0/30,MW 08:30 AM - 10:00 AM
CHE109,15,ASIFUR,0/30,M 01:30 PM - 03:30 PM
CHE109,16,ASIFUR,0/30,MW 10:10 AM - 11:40 AM
CHE109,16,ASIFUR,0/30,W 01:30 PM - 03:30 PM
CHE109,17,ASIFUR,0/30,TR 01:30 PM - 03:00 PM
CHE109,17,ASIFUR,0/30,R 04:50 PM - 06:50 PM
CHE109,18,TBA,0/0,R 08:30 AM - 10:00 AM
CHE109,18,TBA,0/0,R 01:30 PM - 03:30 PM
CHE109,18,TBA,0/0,T 08:30 AM - 10:00 AM
CHE109,19,TBA,0/0,MW 08:30 AM - 10:00 AM
CHE109,19,TBA,0/0,M 08:00 AM - 10:00 AM
CHE109,20,TBA,0/0,W 08:00 AM - 10:00 AM
CHE109,20,TBA,0/0,MW 04:50 PM - 06:20 PM
CHE109,21,TBA,0/0,R 08:00 AM - 10:00 AM

CHE109,21,TBA,0/0,T 04:50 PM - 06:20 PM
CHE109,21,TBA,0/0,S 04:50 PM - 06:20 PM
CS116,1,TBA,0/30,M 03:10 PM - 04:40 PM
CS116,1,TBA,0/30,S 04:50 PM - 06:20 PM
CS116,1,TBA,0/30,T 04:50 PM - 06:20 PM
CS116Lab,1,TBA,0/30,T 04:50 PM - 06:20 PM
CS116Lab,1,TBA,0/30,S 04:50 PM - 06:20 PM
CS191,1,TBA,0/30,MW 08:30 AM - 10:00 AM
CS191,1,TBA,0/30,R 01:30 PM - 03:30 PM
CS191,2,TBA,0/30,M 08:00 AM - 10:00 AM
CS191,2,TBA,0/30,MW 04:50 PM - 06:20 PM
CS191,3,TBA,0/30,T 08:30 AM - 10:00 AM
CS191,3,TBA,0/30,S 08:30 AM - 10:00 AM
CS191,3,TBA,0/30,R 01:30 PM - 03:30 PM
CS191Lab,1,TBA,0/30,W 04:50 PM - 06:50 PM
CS191Lab,2,TBA,0/30,T 04:50 PM - 06:50 PM
CS191Lab,3,TBA,0/30,R 04:50 PM - 06:50 PM
CS217,1,MASUM,0/30,W 08:00 AM - 10:00 AM
CS217,1,MASUM,0/30,MW 10:10 AM - 11:40 AM
CS295,1,TBA,0/30,S 08:30 AM - 10:00 AM
CS295,1,TBA,0/30,M 04:50 PM - 06:50 PM
CS295,1,TBA,0/30,R 08:30 AM - 10:00 AM
CS295,2,TBA,0/30,W 08:00 AM - 10:00 AM
CS295,2,TBA,0/30,MW 04:50 PM - 06:20 PM

CS312,1,MASUM,0/30,M 08:00 AM - 10:00 AM
CS312,1,MASUM,0/30,MW 01:30 PM - 03:00 PM
DSA101,1,FMAR,0/30,M 08:00 AM - 10:00 AM
DSA101,1,FMAR,0/30,SR 11:50 AM - 01:20 PM
DSA101,2,FMAR,0/30,MW 11:50 AM - 01:20 PM
DSA101,2,FMAR,0/30,W 08:00 AM - 10:00 AM
DSA101Lab,1,FMAR,0/30,
DSA101Lab,2,FMAR,0/30,W 08:00 AM - 10:00 AM
MAT101,1,AP,0/40,MW 10:10 AM - 11:40 AM
MAT101,3,TD,0/40,MW 03:10 PM - 04:40 PM
MAT101,4,KNI,0/40,TR 08:30 AM - 10:00 AM
MAT101,5,MEHEDI,0/40,TR 11:50 AM - 01:20 PM
MAT101,6,"APURB
O",0/40,MW 04:50 PM - 06:20 PM
MAT101,7,"APURB
O",0/40,SR 11:50 AM - 01:20 PM
MAT101,8,BITU,0/40,ST 08:30 AM - 10:00 AM
MAT101,9,BITU,0/40,MW 11:50 AM - 01:20 PM
MAT101,10,AKMN,0/40,ST 11:50 AM - 01:20 PM
MAT101,11,MEHEDI,0/40,MW 11:50 AM - 01:20 PM
MAT101,12,MEHEDI,0/40,MW 03:10 PM - 04:40 PM
MAT101,14,"SUMAIY
A",0/40,TR 08:30 AM - 10:00 AM
MAT101,15,TBA,0/40,ST 04:50 PM - 06:20 PM
MAT101,15,TBA,0/40,
MAT101,16,TBA,0/40,T 04:50 PM - 06:20 PM
MAT101,16,TBA,0/40,S 04:50 PM - 06:20 PM

MAT101,17,"SHOBH
A",0/40,SR 08:30 AM - 10:00 AM
MAT101,18,"SHOBH
A",0/40,R 01:30 PM - 03:00 PM
MAT101,18,"SHOBH
A",0/40,T 01:30 PM - 03:00 PM
MAT101,19,"SHOBH
A",0/40,MW 11:50 AM - 01:20 PM
MAT101,20,"ASHRA
F",0/40,TR 08:30 AM - 10:00 AM
MAT101,21,"ASHRA
F",0/40,T 11:50 AM - 01:20 PM
MAT101,21,"ASHRA
F",0/40,R 11:50 AM - 01:20 PM
MAT101,22,TBA,0/0,S 04:50 PM - 06:20 PM
MAT101,22,TBA,0/0,R 04:50 PM - 06:20 PM
MAT101,23,TBA,0/0,MW 04:50 PM - 06:20 PM
MAT101,24,TBA,0/0,MW 04:50 PM - 06:20 PM
MAT101,25,TBA,0/0,S 08:30 AM - 10:00 AM
MAT101,25,TBA,0/0,R 08:30 AM - 10:00 AM
MAT101,26,TBA,0/0,R 04:50 PM - 06:20 PM
MAT101,26,TBA,0/0,T 04:50 PM - 06:20 PM
MAT101,27,TBA,0/0,T 08:30 AM - 10:00 AM
MAT101,27,TBA,0/0,R 08:30 AM - 10:00 AM
MAT102,1,SIS,0/40,MW 11:50 AM - 01:20 PM
MAT102,2,SIS,0/40,MW 03:10 PM - 04:40 PM
MAT102,3,KNI,0/40,SR 11:50 AM - 01:20 PM
MAT102,4,KNI,0/40,SR 03:10 PM - 04:40 PM
MAT102,5,NY,0/40,MW 04:50 PM - 06:20 PM
MAT102,6,NY,0/40,TR 08:30 AM - 10:00 AM
MAT102,7,"SUMAIY
A",0/40,SR 10:10 AM - 11:40 AM

MAT102,8,"SUMAIY
A",0/40,MW 03:10 PM - 04:40 PM
MAT102,9,TBA,0/40,MW 04:50 PM - 06:20 PM
MAT102,10,TBA,0/40,T 04:50 PM - 06:20 PM
MAT102,10,TBA,0/40,R 04:50 PM - 06:20 PM
MAT102,12,DRNM,0/40,ST 01:30 PM - 03:00 PM
MAT102,13,DRNM,0/40,ST 04:50 PM - 06:20 PM
MAT102,15,ASAD,0/40,MW 04:50 PM - 06:20 PM
MAT102,16,DAKD,0/40,TR 08:30 AM - 10:00 AM
MAT102,17,DAKD,0/40,TR 11:50 AM - 01:20 PM
MAT102,18,DSBK,0/40,TR 08:30 AM - 10:00 AM
MAT102,19,DSBK,0/40,TR 11:50 AM - 01:20 PM
MAT102,20,DSHI,0/40,ST 11:50 AM - 01:20 PM
MAT102,21,DSHI,0/40,ST 03:10 PM - 04:40 PM
MAT102,22,KCS,0/40,TR 11:50 AM - 01:20 PM
MAT102,23,KCS,0/40,TR 03:10 PM - 04:40 PM
MAT102,24,TBA,0/0,MW 04:50 PM - 06:20 PM
MAT102,25,TBA,0/0,MW 04:50 PM - 06:20 PM
MAT102,26,TBA,0/0,S 04:50 PM - 06:20 PM
MAT102,26,TBA,0/0,R 04:50 PM - 06:20 PM
MAT102,27,TBA,0/0,MW 04:50 PM - 06:20 PM
MAT104,1,SIS,0/40,T 01:30 PM - 03:00 PM
MAT104,1,SIS,0/40,R 01:30 PM - 03:00 PM
MAT104,2,NY,0/40,SR 11:50 AM - 01:20 PM
MAT104,3,"APURB
O",0/40,TR 01:30 PM - 03:00 PM

MAT104,4,"APURB
O",0/40,MW 03:10 PM - 04:40 PM
MAT104,5,BITU,0/40,SR 01:30 PM - 03:00 PM
MAT104,6,BITU,0/40,MW 03:10 PM - 04:40 PM
MAT104,7,MZIB,0/40,MW 11:50 AM - 01:20 PM
MAT104,8,MZIB,0/40,MW 03:10 PM - 04:40 PM
MAT104,9,DLKS,0/40,MW 01:30 PM - 03:00 PM
MAT104,10,DLKS,0/40,MW 04:50 PM - 06:20 PM
MAT104,11,MRHN,0/40,ST 08:30 AM - 10:00 AM
MAT104,12,MRHN,0/40,ST 03:10 PM - 04:40 PM
MAT104,13,DMY,0/40,SR 08:30 AM - 10:00 AM
MAT104,14,DMY,0/40,SR 11:50 AM - 01:20 PM
MAT104,15,DBPG,0/40,MW 01:30 PM - 03:00 PM
MAT104,16,DBPG,0/40,MW 04:50 PM - 06:20 PM
MAT104,17,TBA,0/0,MW 04:50 PM - 06:20 PM
MAT104,18,TBA,0/0,T 04:50 PM - 06:20 PM
MAT104,18,TBA,0/0,R 04:50 PM - 06:20 PM
MAT104,19,TBA,0/0,S 08:30 AM - 10:00 AM
MAT104,19,TBA,0/0,R 08:30 AM - 10:00 AM
MAT205,1,DFK,0/40,ST 10:10 AM - 11:40 AM
MAT205,2,DFK,0/40,ST 01:30 PM - 03:00 PM
MAT205,3,DNCR,0/40,MW 08:30 AM - 10:00 AM
MAT205,4,DNCR,0/40,MW 11:50 AM - 01:20 PM
MAT205,5,AMRK,0/40,MW 08:30 AM - 10:00 AM
MAT205,6,AMRK,0/40,MW 11:50 AM - 01:20 PM

MAT205,7,DAMAK,0/40,ST 08:30 AM - 10:00 AM
MAT205,8,DAMAK,0/40,ST 11:50 AM - 01:20 PM
MAT205,9,DMAAK,0/40,MW 08:30 AM - 10:00 AM
MAT205,10,DMAAK,0/40,MW 11:50 AM - 01:20 PM
MAT205,11,DCH,0/40,TR 11:50 AM - 01:20 PM
MAT205,12,DCH,0/40,TR 03:10 PM - 04:40 PM
MAT205,13,TBA,0/0,MW 04:50 PM - 06:20 PM
MAT205,14,TBA,0/0,T 04:50 PM - 06:20 PM
MAT205,14,TBA,0/0,R 04:50 PM - 06:20 PM
MAT205,15,TBA,0/0,T 04:50 PM - 06:20 PM
MAT205,15,TBA,0/0,R 04:50 PM - 06:20 PM
MAT291,1,AKMN,0/40,MW 08:30 AM - 10:00 AM
MAT291,2,AKMN,0/40,MW 11:50 AM - 01:20 PM
MAT7101,2,TD,0/40,SR 03:10 PM - 04:40 PM
MAT7101,13,"SUMAIY
A",0/40,MW 08:30 AM - 10:00 AM
MAT7102,11,"SHOBH
A",0/40,MW 03:10 PM - 04:40 PM
MAT7102,14,ASAD,0/40,MW 01:30 PM - 03:00 PM
